nazev,latinský nazev,popis,vune,pouziti
"Koriandr, semena esenciální olej",Coriandrum sativum,"Poznejte hřejivou péči voňavých semen koriandru, které
vás emočně ukotví a podpoří vitalitu a
smyslnost. Jistě vás oslní
i v kuchyni.","Vůně: teplá, sladká, kořenitá, jemně kafrová","Použití: inhalace, koupel, masáž"
"Koriandr, semena RAW, CO₂ esenciální olej",Coriandrum sativum,"Poznejte hřejivou péči voňavých semen koriandru, které
vás emočně ukotví a podpoří vitalitu a
smyslnost.","Vůně: teplá, sladká, kořenitá, jemně kafrová","Použití: inhalace, koupel, masáž"
Kozlík esenciální olej,Valeriana wallichii,"Výrazná, hořká a balzámová vůně kozlíku navozuje emoční
rovnováhu. Oceníte ji, když se vám nedaří usnout, při vyčerpání a
úzkosti.",,
Kozlík v jojobě esenciální olej,Valeriana wallichii,"Výrazná, hořká a balzámová vůně kozlíku navozuje emoční
rovnováhu. Oceníte ji, když se vám nedaří usnout, při vyčerpání a
úzkosti.",,
Kurkuma Zedoary esenciální olej,Curcuma zedoaria,"Najděte sebedůvěru a elán v silné vůni kurkumy zedoárové. Ať máte
každý den prozářený pocitem zdraví a energie.","Vůně: teple kořeněná, s náznakem kafru a manga","Použití: inhalace, koupel, obklad"
"Kurkuma, kořen esenciální olej",Curcuma longa,"I vy můžete zářit. Najděte v sobě pocit
zdraví, aktivní energii a vyrovnanou
sebedůvěru. Esenciální olej z kurkumy využijete
i v kuchyni.","Vůně: teple kořeněná, zemitá, mírně dřevitá,
pronikavá","Použití: inhalace, koupel, dochucení pokrmů"
"Kurkuma, list esenciální olej",Curcuma longa,"Nechte s kurkumou rozkvést svou vnitřní a vnější
krásu. Mějte každý den prozářený
pocitem zdraví a čistou energií.","Vůně: teple kořeněná, bylinná, mírně zemitá,
pronikavá","Použití: inhalace, péče o pleť a pokožku, obklad"
Labdanum (cistus) esenciální olej,Cistus ladaniferus,"Labdanum esenciální olej je duchovní olej a byl používán po staletí
pro meditaci. Jeho vůně evokuje hluboké emoce a otevírá třetí oko.",,
Lavandin esenciální olej,Lavandula hybrida,"Otevřete dlaň a přizvěte do své přízně další poklad s vůní
levandulových kvítků, který vás zklidní, láskyplně
opečuje a posílí.","Vůně: výrazná levandulová až kořenitá, kafrová","Použití: inhalace, masáž, koupel"
Lavandin Super BIO esenciální olej,Lavandula hybrida,"Přijměte posilu, péči a
očistu od lavandinu super v bio kvalitě.
Zklidní podrážděnou pokožku, rozpustí
napětí a přinese pohodu namoženým svalům.","Vůně: svěží bylinná s kafrovými a
květinovými tóny","Použití: inhalace, masáž, parfém"
Levandule Francie esenciální olej,Lavandula angustifolia,"Nechte se prostoupit voňavou něhou sycenou sluncem jihu a
dopřejte svému tělu i duši zklidnění,
uvolnění a regeneraci.","Vůně: výrazná, květinová, nasládlá","Použití: inhalace, masáž, koupel"
Levandule Kašmír esenciální olej,Lavandula angustifolia,"Nechte se opečovat voňavou něhou z vysokých výšek nad
mořem a dopřejte svému tělu i duši zklidnění,
uvolnění a regeneraci.","Vůně: květinová, nasládlá, s jemně hořkými
tóny","Použití: inhalace, masáž, koupel"
"Levandule RAW, CO₂ esenciální olej",Lavandula angustifolia,"Nechte se prostoupit konejšivou bylinkovou něhou a dopřejte svému tělu,
mysli i duši zklidnění, uvolnění a regeneraci.","Vůně: jemně bylinná, květinová","Použití: inhalace, masáž, koupel"
Levandule Spike esenciální olej,Lavandula latifolia,"Nechte se prostoupit voňavou něhou sycenou sluncem jihu.
Pro vzácný pocit klidu, čistoty a souznění.","Vůně: květinová s výrazně sladkými a
kafrovými tóny","Použití: inhalace, masáž, koupel"
"Levandule, BIO esenciální olej",Lavandula angustifolia,"Zahalte se do něžné vůně uklidňující a
pečující levandule, která podpoří
regeneraci, relaxaci a tělesnou i duševní
pohodu. Nyní v bio kvalitě.","Vůně: bylinná, lehce květinová, čistá","Použití: inhalace, masáž, koupel"
Libavka esenciální olej,Gaultheria procumbens,Sladce medicinální vůně.,,
Libora měnivá esenciální olej,Lantana camara,"Poznejte ozdravnou sílu oslnivé krásky, kterou si
oblíbíte stejně jako motýli, včely a kolibříci.","Vůně: svěží, květinová, dřevitá s citrusovými a
zelenými tóny","Použití: inhalace, masáž, koupel"
Limetka esenciální olej,Citrus aurantifolia,"Seznamte se s jedinečným, sluncem prozářeným esenciálním olejem
z limetky, který vás pročistí, posílí a
povznese při smutku či únavě.","Vůně: trpká, kyselá, květinová, svěží","Použití: inhalace, masáž, koupel"
Litsea Cubeba esenciální olej,Litsea cubeba,"Probuďte své smysly svěžestí citrusové vůně. Litsea
posílí vaše sebevědomí, nabije vás pozitivní
energií a dokonale zharmonizuje
i vaši pleť.","Vůně: svěží, citrusová se sladkými tóny","Použití: inhalace, péče o pokožku a pleť, masáž"
Majoránka esenciální olej,Origanum majorana,"Objevte jedinečnost voňavé bylinky, symbolu lásky a štěstí. Pohladí,
zregeneruje a oslní i v kuchyni.","Vůně: svěží, teplá, bylinná, kafrová, sladce
kořenitá","Použití: inhalace, koupel, dochucení pokrmů"
Mandarinka červená esenciální olej,Citrus reticulata,"Užívejte si po celý den svěžest a
lehkost na těle i na duchu s jemně sladkou vůní červené
mandarinky. Laskavá podpora pro všechny generace.","Vůně: sladká, citrusová, svěží
s květinovými tóny","Použití: inhalace, masáž, koupel"
Mandarinka zelená esenciální olej,Citrus reticulata,"Dodejte svému tělu osvěžení a své mysli pohodu
a lehkost se šťavnatou povzbuzující vůní zelené mandarinky. Top
pro všechny generace.","Vůně:svěží se sladkokyselými tóny, citrusová","Použití: inhalace, masáž, koupel"
Mandarinka žlutá esenciální olej,Citrus reticulata,"Dopřejte si osvěžení těla a lehkost
mysli s jemným citrusem: sladce voňavou mandarinkou, kterou ocení
všechny generace, od batolátek po ty nejstarší.","Vůně: citrusová, svěží, trpce-sladká
s květinovými tóny","Použití: inhalace, masáž, koupel"
"Mandle, hořké esenciální olej",Prunus amygdalus,"Nechte se okouzlit rafinovanou vůní neobvyklého
esenciálního oleje z hořkých mandlí, který vaši aromaterapeutickou
sbírku povznese na novou úroveň.","Vůně: ořechová, marcipánová s ovocným tónem","Použití: inhalace, masáž, koupel"
Manuka esenciální olej,Leptospermum scoparium,"Nechte se unést manukou vábící nespočtem blahodárných
účinků zabalených do něžné medové vůně.","Vůně: jemná, bylinná, medová, květinová","Použití: inhalace, masáž, koupel"
Massoia esenciální olej,Cryptocaria Massoia,"Prohřejte tělo a nechte se obklopit útulnou
atmosférou klidu a bezpečí, které přináší ojedinělý
esenciální olej z kůry stromu massoia.","Vůně: sladší, kokosově-mléčná","Použití: inhalace, parfém"
Mastic esenciální olej,Pistacia lentiscus,"Mastic svou jemnou, citronově svěží a lehce ovocnou vůní dovede vyvolat
dobrou náladu a radost.",,
Máta citronová esenciální olej,Mentha citrata,"Probuďte své smysly se svěží vůní citronové máty.
Protože má jedinečnou schopnost osvěžit a uklidnit
zároveň, potěší vás před spaním, po cvičení nebo když potřebujete
pozvednout náladu.","Vůně: svěží, mátová s citrusovými tóny","Použití: inhalace, masáž, koupel"
Máta klasnatá esenciální olej,Mentha spicata,"Objevte příjemné zklidňující a
ochlazující účinky esenciálního oleje z máty
klasnaté.",Nejjemnější druh mátového oleje.,"Vůně: svěží, sladká, bylinná, typicky mátová"
Máta peprná esenciální olej,Mentha piperita,"Zchlaďte svou hlavu a rozehřejte srdce s mátou, která vás dokonale
osvěží, prohloubí dech a povzbudí
mysl. Zpestří i vaše aktivity v kuchyni.","Vůně: svěží, jemně kafrová, typicky mátová","Použití: inhalace, koupel, dochucení pokrmů"
Máta rolní esenciální olej,Mentha arvensis,"Vytvořte si oázu svěžesti z lánu divoké máty, která
vám prohloubí dech, projasní mysl a
dokonale zpřítomní.","Vůně: nasládlá, bylinná, typicky mentolová","Použití: inhalace, masáž, koupel"
Mateřídouškovec vonný BIO esenciální olej,Thymus capitatus,"Dopřejte si voňavé objetí mateřídouškovcem. Hřejivá náruč vám
dodá pocit bezpečí a podpoří vaši
vitalitu. Chtějte ho poznat
i v kuchyni.","Vůně: svěží, teplá, štiplavá, kořeněná,
bylinná","Použití: inhalace, koupel, dochucení pokrmů"
Meduňka esenciální olej,Melissa officinalis,"Vyzkoušejte unikátní jemnou sílu esenciálního oleje
z meduňky, od starověku oceňované bylinky, která vás
uvolní, rozptýlí smutek a nervozitu a vyladí vaši
tělesnou i duševní pohodu.","Vůně: sladce svěží, lehká, citrusovo-bylinná","Použití: inhalace, masáž, koupel"
"Mrkev, semena esenciální olej",Daucus carota sativa,"Esenciální olej z mrkve vás okouzlí příjemně nasládlou, zemitou a
teplou vůní s kořenitým akcentem.",,
Muškátový oříšek esenciální olej,Myristica fragrans,"Prožijte chvíle uvolnění a pohody. Aromatický
muškátový oříšek svou hřejivou vůní vytvoří ostrov klidu a
soustředění. Obohatí také vaše
gastronomické výlety.",Vůně: sladce kořenitá s teplým dřevitým tónem,"Použití: inhalace, koupel, dochucení pokrmů"
"Muškátový oříšek RAW, CO₂ esenciální olej",Myristica fragrans,"Prožijte chvíle uvolnění a pohody. Aromatický
muškátový oříšek svou hřejivou vůní vytvoří ostrov klidu a
soustředění.",Vůně: sladce kořenitá s teplým dřevitým tónem,"Použití: inhalace, masáž, koupel"
Myrha Confusa esenciální olej,Commiphora confusa,"Objevte hřejivou vůni a mnohostranné účinky esenciálního oleje
z myrhy confusa. Je skvělým pomocníkem pro péči o pleť,
především zralou nebo suchou. Osvědčí se také v orientálně laděném
parfému, celkově podpoří a usnadní
uvolnění mysli.","Vůně: sladce bylinná, pryskyřičná, hluboká, teplá se
zemitými a balzamickými tóny","Použití: péče o pleť a pokožku, parfém, inhalace"
Myrha esenciální olej,Commiphora myrrha,"Dopřejte své mysli stav hlubokého uvolnění a
meditace. Dosáhněte nadsmyslového míru a
zocelte se pro všední dny s posilující
pryskyřičnou vůní.","Vůně: sladce zemitá, pryskyřičná, balzámová, jemně
kafrová","Použití: inhalace, péče o pleť a pokožku, parfém"
Myrha Kataf esenciální olej,Commiphora kataf,"Nechte se uchvátit jedinečnou komplexní vůní myrhy
kataf. Noste ji s sebou jako smyslný orientální parfém,
dopřejte posílení své zralé pleti, prohlubte
dech a ponořte se do klidné meditace.","Vůně: unikátní a komplexní, sladká s jemným
citrusovým podtónem","Použití: péče o pleť a pokožku, parfém, inhalace"
Myrha Kua esenciální olej,Commiphora kua,"Vychutnejte si typickou vůni a všestranné účinky
vzácného esenciálního oleje z myrhy kua. Poslouží jako
vzpruha pro zralou pleť, sladký tón do exotického
parfému i podpora pro hluboké uvolnění a
meditaci.","Vůně: sladce karamelová, s tóny pomerančové kůry a
máty, s nádechem pepře a pižma","Použití: péče o pleť a pokožku, parfém, inhalace"
Myrta esenciální olej,Myrtus communis,"Vůně myrty vás osvěží. Je jasně kořeněná, exotická a lehce
kafrovo-eukalyptová.",,
Nard esenciální olej,Nardostachys jatamansi,"Ponořte se hlouběji do svého klidu. Nard vás duchovně
upokojí a uvede do meditativního
rozpoložení, kde vše plyne v souladu a bez odporu.","Vůně: dřevitá, pižmová se sladkými tóny","Použití: inhalace, péče o pleť a pokožku, koupel"
Nard modrý esenciální olej,Nardostachys jatamansi,"Ztište se a zjemněte své smysly. S modrým nardem
obohatíte každodenní prožívání o pocit klidu,
posvátnosti a duchovnosti.","Vůně: pižmová, svěží, dřevitá se sladkými
tóny","Použití: inhalace, péče o pleť a pokožku, koupel"
Nard zelený esenciální olej,Nardostachys jatamansi,"Opusťte rozbouřené vody a zakotvěte u klidného břehu.
Zelený nard vše ztiší a zpomalí – a vy najdete
sílu naplno prožít každý okamžik.","Vůně: pižmová, sladká, teplá s dřevitými tóny","Použití: inhalace, péče o pleť a pokožku, koupel"
Neroli esenciální olej,Citrus aurantium,"Aroma neroli je květinové, sladkohořké, teplé, bohaté, podobné
pomerančovému. Jeho esence vás uklidní a uzemní.",,
Niaouli esenciální olej,Melaleuca quinquenervia,"Domácí přírodní lékárnička na dlani, to je mnohostranně
blahodárné niaouli. S jemností vás opečuje, pomůže prohloubit
dýchání a urychlit regeneraci.","Vůně: zemitá, sladce ovocná, eukalyptová,
balzámová","Použití: inhalace, masáž, obklad"
"Nové koření, list esenciální olej",Pimenta officinalis,"Načerpejte sílu s pimentovníkovým olejem, jehož
příjemně prohřívající charakter napomáhá k celkovému
uvolnění.","Vůně: výrazná, kořeněná, svěží, hřebíčková","Použití: inhalace, masáž, obklad"
"Nové koření, plod esenciální olej",Pimenta Officinalis,"Načerpejte sílu s pimentovníkovým olejem, jehož
prohřívající charakter vám napomůže překonat
i dlouhotrvající pocity napětí.","Vůně: těžká, kořeněná, hřebíčková","Použití: inhalace, masáž, obklad"
Opoponax (sladká myrha) esenciální olej,Commiphora erythraea,"Myrha se svým pryskyřičným, balzámovým, bohatým a jemně kafrovým
aroma může ovlivnit psychiku ve velké hloubce. Vyvolá ve vás pocit
nadsmyslového míru a pokoje.",,
Oregano esenciální olej,Origanum vulgare,"Dosáhněte hluboké harmonie, osvobození
a rovnováhy. Výrazná vůně dobromysli je tou pravou
vzpruhou, která vás vybalancuje. Stejně tak vyladí i vaše
kompozice v kuchyni.","Vůně: bylinná, pepřová s nasládlým, jemně
kafrovým tónem","Použití: inhalace, koupel, dochucení pokrmů"
Pačuli esenciální olej,Pogostemon cablin,"Nechte na sebe působit zemitost a svůdnost
afrodiziakálního pačuli, které vás
uvolní při přepracování a postaví na
nohy, když jste vyčerpaní a bez nálady.","Vůně: plná, dřevitá, pižmová se sladce balzámovým a
bylinným nádechem","Použití: inhalace, péče o pleť a pokožku, koupel"
Palmarosa esenciální olej,Cymbopogon martinii,"Nechte se okouzlit jemným, květinovým aroma esenciálního oleje
palmarosa, s nímž ožije mysl i vitalita,
omládne pleť a rozjasní se nálada.","Vůně: sladce svěží, růžová s tóny citrusu","Použití: inhalace, masáž, koupel"
Pelyněk bílý esenciální olej,Artemisia alba,"Povzneste se v hřejivé náruči bělostné Artemis,
prosti negativních myšlenek a pocitů.","Vůně: výrazná, svěží, bylinná, kafrová,
medicinální","Použití: inhalace, masáž, koupel"
"Pelyněk černobýl, BIO esenciální olej",Artemisia vulgaris,"Svěřte se do rukou mocné Artemis pro kompletní
vyladění a nastolení vytoužené rovnováhy.","Vůně: bylinná se sladkými, jehličnatými a
kafrovými tóny","Použití: inhalace, masáž, obklad"
Pelyněk davana esenciální olej,Artemisia pallens,"Seznamte se s výjimečným klenotem z obsáhlé
šperkovnice aromaterapie.","Vůně: výrazná, nasládlá, bylinná, lékořicová","Použití: parfém, inhalace, péče o pleť a pokožku"
Pelyněk estragon esenciální olej,Artemisia dracunculus,"Představuje se vám „král mezi bylinami“, při
citlivém zacházení královsky nápomocný.","Vůně: sladká, ovocná, svěží, anýzová","Použití: inhalace, masáž, obklad"
Pelyněk roční esenciální olej,Artemisia annua,"Nechte se okouzlit hřejivou bylinkovou vůní pelyňku ročního a využijte
pro sebe jeho všestrannou podporu.","Vůně: svěží, bylinná s kafrovým tónem","Použití: inhalace, masáž, koupel"
Pepř bílý esenciální olej,Piper nigrum,"Opepřete si svůj život plody ovíjivé liány, které vám rázem
odeženou chmury, podpoří vitalitu a
probudí smyslnost. Kouzlit s nimi můžete
i v kuchyni.","Vůně: jemná, teplá, intenzivně pepřová,
kořenitá","Použití: inhalace, koupel, dochucení pokrmů"
Pepř černý esenciální olej,Piper nigrum,"Opepřete si svůj život plody ovíjivé liány, které vám rázem
odeženou chmury, podpoří vitalitu a
probudí smyslnost. Kouzlit s nimi můžete
i v kuchyni.","Vůně: teplá, intenzivně pepřová, kořenitá","Použití: inhalace, koupel, dochucení pokrmů"
Pepř růžový esenciální olej,Schinus molle,"Poznejte sílu plodů posvátného stromu Inků, které vás
vzpruží a ochrání před nástrahami
sychravých dnů. Oceníte je i v kuchyni.","Vůně: svěží, dřevitá, nasládlá, pepřová
s květinovým tónem","Použití: inhalace, koupel, dochucení pokrmů"
Pepřovník betelový esenciální olej,Piper betle,"Nabídněte si výživné „betelové sousto” bez
závislosti a vedlejších účinků.","Vůně: fenolická, kouřová, kořeněná, jemně
nasládlá","Použití: inhalace, masáž, obklad"
"Petržel, semena esenciální olej",Petroselinum crispum,"Upokojte svoji ustaranou mysl a otevřete si cestu
k novým příležitostem. Esenciální olej ze semen petržele vám
pomůže vyladit harmonii těla a duše a doprovodí vás
k radosti. Potěšení může přinést také v kuchyni.","Vůně: teplá, nasládlá, kořeněná, bylinná","Použití: inhalace, koupel, dochucení pokrmů"
Pískavice řecké seno RAW CO₂ esenciální olej,Trigonella foenum graecum,"Rozjasněte úsměv, obnovte v těle
rovnováhu, podpořte vitalitu a svou
přirozenou krásu s esenciálním olejem z pískavice
řeckého sena.","Vůně: teplá, kořeněná s oříškově-zemitými
podtóny","Použití: péče o pleť a pokožku, obklad, inhalace"
"Pomeranč červený, BIO esenciální olej",Citrus sinensis,"Překonejte chmury se silou 100% čistého a bio červeného pomeranče,
který ve vás podnítí optimismus a
spontánnost a podpoří vaši kreativitu.","Vůně: teplá, sladká, svěží, citrusová","Použití: inhalace, masáž, koupel"
Pomeranč SUN esenciální olej,Citrus sinensis,"Zbavte se chmur a starostí s posilou osvěžující
energie šťavnatých pomerančů. Konečně je tady verze SUN, se
kterou můžete vyjít i na sluníčko.","Vůně: citrusová, svěží, trpká","Použití: inhalace, koupel, péče o pleť a pokožku"
Ravensara esenciální olej,Ravensara anisata,"Pro své blahodárné účinky je domorodými nazýván „olejem,
který regeneruje“, zhodnoťte sami.","Vůně: svěží, anýzová s jemně kořeněnými
tóny","Použití: inhalace, masáž, obklad"
Ravintsara esenciální olej,Cinnamomum camphora,"Dýchejte s lehkostí, nabijte se
energií, podpořte očistu těla a osvěžte
mysl. Ravintsara vám poslouží jako
jemnější alternativa eukalyptového
esenciálního oleje.","Vůně: svěží, jemně bylinná, mírně kafrová","Použití: inhalace, masáž, koupel"
Řebříček modrý esenciální olej,Achillea millefolium,"Díky vysokému obsahu chamazulenu má nádhernou modrou barvu. Jedná se
o jemný, ale účinný éterický olej se sladce bylinkovou až mírně
kafrovou vůní.",,
Rmen (Heřmánek římský) esenciální olej,Chamaemelum nobile,"Esenciální olej ze rmenu se vyznačuje teplou, sladkou, bylinnou, lehce
ovocitou vůní.",,
Rododendron Anthopogon BIO esenciální olej,Rhododendron anthopogon,"Najděte hluboký klid, vyrovnanost mysli i emocí a
celkovou lehkost s pomocí návštěvníka z třetihor,
omamného rododendronu.","Vůně: sladce bylinná, květinová s balzámovým
nádechem","Použití: inhalace, masáž, péče o pleť a pokožku"
Rododendron grónský BIO esenciální olej,Rhododendron groenlandicum,"Poznejte jedinečné vlastnosti divokého rododendronu,
dávno již oblíbeného severoamerickými indiány.","Vůně: svěží, dřevitá, bylinná, balzámová","Použití: inhalace, masáž, koupel"
Rozmarýn esenciální olej,Rosmarinus officinalis,"Objevte kouzlo „rosy moře“, rozveselující bylinky,
která vás laskavě ošetří, posílí sebevědomí a přinese do života
švih. Navíc oživí i vaši kuchyň.","Vůně: intenzivní, bylinná, kafrová, svěží,
teplá","Použití: inhalace, koupel, dochucení pokrmů"
"Rozmarýn RAW, CO₂ esenciální olej",Rosmarinus officinalis,"Vůně je výrazná, kořeněná s kafrovými tóny. Esence rozmarýnu
pomůže překonat mentální vyčerpání, zlepšovat duševní
bdělost a koncentraci.",,
Rue esenciální olej,Ruta graveolens,"Vůně je silná, aromatická, nasládlá, hořká až bylinná. Na
mentální rovině dokáže rozptýlit neklidné myšlenky a povzbudit
k maximálnímu prožití přítomného okamžiku.",Účinný přírodní repelent.,
Růže bílá esenciální olej,Rosa alba,"Poznejte něžnou eleganci a hluboký účinek na mnoha úrovních, který
přináší nejvzácnější esenciální olej –
ženská a pečující bílá růže.","Vůně: sladce sametová, květinová s citrusovým tónem,
komplexní, jemná","Použití: inhalace, péče o pleť a pokožku, parfém"
Růže bílá v MCT oleji esenciální olej,Rosa alba,"Vychutnejte si něžnou eleganci a hluboký účinek na mnoha úrovních,
který přináší nejvzácnější esenciální olej –
ženská a pečující bílá růže
v MCT oleji.","Vůně: sladce sametová, květinová s citrusovým tónem,
komplexní, jemná","Použití: péče o pleť a pokožku, parfém, koupel"
Růže damašská ABSOLUE esenciální olej,Rosa damascena,"Obklopte se elegantní vůní jednoho z nejvzácnějších
esenciálních olejů. Damašská růže, královna květin,
poskytne něžnou péči vaší pleti, duši i ženskému cyklu.","Vůně: silná, sladká, květinová se svěžím tónem,
komplexní, plná","Použití: inhalace, péče o pleť a pokožku, parfém"
Růže damašská ABSOLUE v MCT oleji esenciální olej,Rosa damascena,"Dopřejte si dotek luxusu a jemné ženské síly s jedním
z nejcennějších olejů. Damašská růže absolue
v nosném MCT oleji potěší vaše tělo, mysl i pleť.","Vůně: silná, sladká, květinová se svěžím tónem,
komplexní, plná","Použití: péče o pleť a pokožku, parfém, koupel"
Růže damašská dvakrát destilovaná esenciální olej,Rosa damascena,"Podtrhněte svou ženskost a dopřejte extra péči své pleti s dvakrát
destilovanou damašskou růží z Íránu, která patří
k nejluxusnějším na světě.","Vůně: jemná, čistá, sladce květinová s lehkými
medovými podtóny","Použití: inhalace, péče o pleť a pokožku, koupel"
Růže damašská dvakrát destilovaná v MCT oleji esenciální olej,Rosa damascena,"Oddejte se harmonizující péči dvakrát destilované damašské
růže z Íránu naředěné v MCT oleji.
S nezmenšenou silou povzbudí vaši ženskost, vyrovná emoce a
opečuje pleť.","Vůně: jemná, čistá, sladce květinová s lehkými
medovými podtóny","Použití: péče o pleť a pokožku, masáž, koupel"
Růže damašská esenciální olej,Rosa damascena,"Vychutnávejte si elegantní aroma a všestranný přínos
nejvzácnějšího esenciálního oleje z královny květin,
regenerující a pečující
damašské růže.","Vůně: sladká, květinová se svěžím tónem,
komplexní, plná","Použití: inhalace, péče o pleť a pokožku, parfém"
Růže damašská jednou destilovaná esenciální olej,Rosa damascena,"Poznejte kouzlo a eleganci vzácné damašské růže
z Íránu, která rozvine vaši ženskou stránku,
přinese celkovou harmonii a s jemností se postará
o suchou nebo zralou pleť.","Vůně: bohatá, hluboká, sladce květinová s ovocnými a
kořeněnými podtóny","Použití: inhalace, péče o pleť a pokožku, koupel"
Růže damašská jednou destilovaná v MCT oleji esenciální olej,Rosa damascena,"Poznejte kouzlo jedinečné damašské růže z Íránu,
která vám pomůže zharmonizovat emoce a postará se o vaši
suchou nebo zralou pleť, a to ve variantě naředěné
v MCT oleji.","Vůně: bohatá, hluboká, sladce květinová s ovocnými a
kořeněnými podtóny",
Růže damašská v jojobě esenciální olej,Rosa damascena,"Vychutnávejte si elegantní aroma a všestranný přínos
nejvzácnějšího esenciálního oleje z královny květin,
ženské a pečující damašské růže.","Vůně: sladká, květinová se svěžím tónem,
komplexní, plná","Použití: péče o pleť a pokožku, parfém, koupel"
Růže stolistá esenciální olej,Rosa centifolia,"Povzneste se na těle i na duchu a obnovte důvěru,
svobodu a lásku s půvabnou vůní, která opečuje vaši
ženskost a pomůže vám přijmout sebe sama.","Vůně: sladká, smyslná, plná, květinová se
svěžím tónem","Použití: inhalace, péče o pleť a pokožku, parfém"
Růže stolistá v MCT oleji esenciální olej,Rosa centifolia,"Nechte se pohladit na těle a povznést na duši. Růže
stolistá v MCT oleji je skvělý způsob, jak opečovat
pleť, zklidnit napětí a rozvinout empatii.","Vůně: sladká, smyslná, plná, květinová se
svěžím tónem","Použití: péče o pleť a pokožku, parfém, koupel"
Růžové dřevo esenciální olej,Aniba rosaeodora,"Vychutnejte si příliv smyslné radosti a síly
s esenciálním olejem z růžového dřeva, který zharmonizuje tělo, mysl
i duši.","Vůně: svěží, květinová s lehce dřevitými a kořeněnými tóny","Použití: parfém, koupel, péče o pleť a pokožku"
Šalvěj muškátová esenciální olej,Salvia sclarea,"Odložte vesla, moře je opět klidné a vstřícné.
S tímto konejšivým a harmonizujícím ženským
olejem pocítíte jasnost, radost a
uvolnění i při té nejsilnější bouřce.","Vůně: bylinná, teplá s nasládlými a
dřevitými tóny","Použití: inhalace, masáž, obklad"
Santalové dřevo esenciální olej,Santalum Album,"Dřevité, balzámové sladké a mírně pižmové aroma.",,
Saro esenciální olej,Cinnamosma fragrans,"Držte neduhy na uzdě díky cennému stromu, který dle
domorodých „odhání zlo”.","Vůně: svěží, tropická s lehce citronovými a
nasládlými tóny","Použití: inhalace, péče o pleť a pokožku, obklad"
Saturejka esenciální olej,Satureja hortensis,"Nalaďte se na působivou symfonii bylinných tónů. Vůně saturejky
povzbudí vaši mysl a dodá vám duševní
sílu a celkovou lehkost. Příjemné kompozice s ní
vytvoříte i v kuchyni.","Vůně: intenzivní, pikantní, bylinná","Použití: inhalace, koupel, dochucení pokrmů"
"Skořice cejlonská, kůra esenciální olej",Cinnamomum zeylanicum,"Dobijte energetické zásoby v hřejivé náruči skořice,
která vás povzbudí a podpoří vřelé vztahy i vaše vlastní
sebepřijetí. Její intenzivní, sladce kořeněnou vůni využijete
v kuchyni.","Vůně: teplá, sladce kořeněná, typicky skořicová","Použití: inhalace, koupel, dochucení pokrmů"
Skořice Kasie esenciální olej,Cinnamomum cassia,"Uvolněte se a vychutnejte si chvíle klidu a pohody.
Povznášející vůně kasie se postará o příjemnou a
útulnou atmosféru nejen v chladných dnech, dodá vám
odvahu a obnoví vaši sebedůvěru.","Vůně: kořenitá, hřejivá, zemitá, sladce
skořicová, silná","Použití: inhalace, masáž, koupel"
Skořice Lawang esenciální olej,Cinnamomum culilawan,"Navraťte své energii plynulý tok a prožijte pocit opravdového
uvolnění pod teplým závojem orientální vůně.","Vůně: teplá, kořenitá, balzámová, hřebíčková","Použití: masáž, obklad, inhalace"
Smil Bracteiferum esenciální olej,Helichrysum bracteiferum,"Přijměte voňavé poselství z říše bylin. Čerstvé
aroma smilu Bracteiferum vás rozveselí, pozvedne na těle i na duchu a
zkrášlí každičký den.","Vůně: svěží bylinná, lehce kafrová s eukalyptovými
podtóny, nasládlá","Použití: inhalace, masáž, koupel"
Smil italský esenciální olej,Helichrysum italicum,"Využijte dar věčného mládí pro svou pleť, podpořte
regeneraci a odložte negativní přístup
s jemnou péčí smilu italského, kterému se přezdívá také
„věčný květ“.","Vůně: bylinná s medovými podtóny, sladce kořeněná,
plná, teplá","Použití: péče o pleť a pokožku, koupel"
Smil Rambiazina esenciální olej,Helichrysum gymnocephalum,"Najděte útočiště v povzbuzující náruči zlatého
slunce z Madagaskaru. Zářivý smil Rambiazina vás osvěží a
pomůže chytit druhý dech.","Vůně: svěží, eukalyptová s kafrovými podtóny","Použití: inhalace, masáž, koupel"
Smrk černý esenciální olej,Picea mariana,"Vytvořte si oázu svěžesti smrkových lesů a buďte
připraveni na výkyvy počasí i stresovou zátěž.","Vůně: svěží, pryskyřičná, dřevitá
s nasládlými tóny","Použití: inhalace, masáž, koupel"
"Smrk černý, dřevo BIO esenciální olej",Picea mariana,"Vytvořte si oázu svěžesti smrkových lesů a buďte
připraveni na výkyvy počasí i stresovou zátěž.","Vůně: dřevitá, kořeněná, svěží","Použití: inhalace, masáž, koupel"
"Smrk černý, jehličí BIO esenciální olej",Picea mariana,"Vytvořte si oázu svěžesti smrkových lesů a buďte
připraveni na výkyvy počasí i stresovou zátěž.","Vůně: svěží, pryskyřičná, dřevitá","Použití: inhalace, masáž, koupel"
"Smrk černý, kůra BIO esenciální olej",Picea mariana,"Vytvořte si oázu svěžesti smrkových lesů a buďte
připraveni na výkyvy počasí i stresovou zátěž.","Vůně: svěží, dřevitá, pryskyřičná","Použití: inhalace, masáž, koupel"
Smrk sivý BIO esenciální olej,Picea glauca,"Vytvořte si oázu svěžesti smrkových lesů a buďte
připraveni na výkyvy počasí i stresovou zátěž.","Vůně: svěží, lehká, dřevitá, pryskyřičná","Použití: inhalace, masáž, koupel"
